"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/05/11","814","831","813","829","9","1.10","3922.273"
"2022/05/10","801","824","801","820","7","0.86","6325.34"
"2022/05/09","821","827","813","813","-21","-2.52","3222.122"
"2022/05/06","809","834","808","834","-7","-0.83","5758.127"
"2022/05/05","843","848","837","841","12","1.45","7049.41"
"2022/05/04","829","835","825","829","9","1.10","3612.614"
"2022/05/03","830","833","808","820","-10","-1.20","8551.333"
"2022/04/29","850","850","830","830","2","0.24","6766.62"
"2022/04/28","835","853","821","828","20","2.48","13045.549"
"2022/04/27","806","816","797","808","-25","-3.00","8869.795"
"2022/04/26","833","837","825","833","-4","-0.48","7337.645"
"2022/04/25","833","838","831","837","-17","-1.99","6665.153"
"2022/04/22","848","857","846","854","-14","-1.61","6109.863"
"2022/04/21","854","872","850","868","12","1.40","5096.585"
"2022/04/20","847","856","841","856","18","2.15","5567.216"
"2022/04/19","855","862","838","838","5","0.60","6379.783"
"2022/04/18","827","844","827","833","1","0.12","4094.46"
"2022/04/15","851","852","831","832","-29","-3.37","7666.989"
"2022/04/14","874","874","861","861","-19","-2.16","6810.31"
"2022/04/13","849","882","847","880","38","4.51","10355.16"
"2022/04/12","840","848","830","842","6","0.72","8125.095"
"2022/04/11","839","847","832","836","-4","-0.48","6422.208"
"2022/04/08","851","859","834","840","-10","-1.18","14333.839"
"2022/04/07","858","872","850","850","-32","-3.63","19182.221"
"2022/04/06","858","883","855","882","-18","-2.00","14330.964"
"2022/04/01","900","904","893","900","-5","-0.55","11812.48"
"2022/03/31","900","919","900","905","-10","-1.09","8830.61"
"2022/03/30","912","923","903","915","3","0.33","11786.348"
"2022/03/29","931","951","903","912","-52","-5.39","14174.826"
"2022/03/28","950","964","946","964","-7","-0.72","2814.908"
"2022/03/25","975","976","965","971","-1","-0.10","5031.201"
"2022/03/24","978","978","967","972","-5","-0.51","4765.504"
"2022/03/23","988","995","976","977","2","0.21","4955.261"
"2022/03/22","971","980","967","975","-3","-0.31","3993.632"
"2022/03/21","985","985","977","978","9","0.93","4146.781"
"2022/03/18","971","974","955","969","1","0.10","7194.385"
"2022/03/17","951","978","949","968","61","6.73","9926.344"
"2022/03/16","930","931","900","907","3","0.33","7790.859"
"2022/03/15","933","935","901","904","-40","-4.24","10994.846"
"2022/03/14","973","975","934","944","-19","-1.97","8927.797"
"2022/03/11","1000","1000","961","963","-32","-3.22","6396.559"
"2022/03/10","990","1005","982","995","29","3.00","5992.358"
"2022/03/09","971","976","956","966","3","0.31","6282.516"
"2022/03/08","945","986","943","963","-9","-0.93","7471.419"
"2022/03/07","985","995","970","972","-53","-5.17","11348.964"
"2022/03/04","1060","1060","1025","1025","-55","-5.09","6621.209"
"2022/03/03","1085","1100","1065","1080","0","0.00","3873.104"
"2022/03/02","1105","1105","1070","1080","-20","-1.82","3703.428"
"2022/03/01","1105","1120","1095","1100","15","1.38","5544.37"
"2022/02/25","1075","1095","1060","1085","25","2.36","7392.515"
"2022/02/24","1095","1105","1055","1060","-60","-5.36","8155.25"
"2022/02/23","1110","1120","1100","1120","10","0.90","3590.396"
"2022/02/22","1115","1120","1090","1110","-20","-1.77","4981.43"
"2022/02/21","1115","1135","1110","1130","10","0.89","3249.94"
"2022/02/18","1115","1125","1105","1120","-10","-0.88","2777.044"
"2022/02/17","1130","1135","1120","1130","0","0.00","3047.582"
"2022/02/16","1130","1130","1115","1130","30","2.73","2940.602"
"2022/02/15","1110","1120","1090","1100","-5","-0.45","3322.875"
"2022/02/14","1120","1125","1100","1105","-45","-3.91","5789.679"
"2022/02/11","1150","1170","1145","1150","-10","-0.86","5058.227"
