"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/05/11","148.5","150","144.5","144.5","-4.5","-3.02","82004.378"
"2022/05/10","143","150.5","142.5","149","2","1.36","115425.361"
"2022/05/09","152.5","154","147","147","-7","-4.55","144784.664"
"2022/05/06","149.5","154.5","148.5","154","1.5","0.98","125219.294"
"2022/05/05","154","155.5","150.5","152.5","1","0.66","121717.467"
"2022/05/04","148.5","153","148.5","151.5","5","3.41","115815.573"
"2022/05/03","146","146.5","144","146.5","1.5","1.03","71040.875"
"2022/04/29","140.5","145.5","140","145","7","5.07","113755.419"
"2022/04/28","142","142","138","138","-2","-1.43","63157.535"
"2022/04/27","134","140.5","133","140","1","0.72","90781.882"
"2022/04/26","141","142.5","139","139","-0.5","-0.36","49643.058"
"2022/04/25","144","145","139","139.5","-8","-5.42","139636.313"
"2022/04/22","144.5","149","143.5","147.5","2","1.37","81848.44"
"2022/04/21","145","147.5","145","145.5","2","1.39","75810.527"
"2022/04/20","143","144.5","142","143.5","2","1.41","97083.572"
"2022/04/19","140","142.5","139.5","141.5","3.5","2.54","62583.545"
"2022/04/18","141","141.5","138","138","-3.5","-2.47","56844.23"
"2022/04/15","137","142","137","141.5","3.5","2.54","77659.356"
"2022/04/14","140.5","142","138","138","-2","-1.43","73856.909"
"2022/04/13","136.5","140.5","136","140","5.5","4.09","102258.649"
"2022/04/12","136.5","137","132","134.5","-1.5","-1.10","76995.661"
"2022/04/11","136.5","138.5","135.5","136","0.5","0.37","89856.268"
"2022/04/08","131","136.5","130.5","135.5","7","5.45","96179.86"
"2022/04/07","131","133.5","128.5","128.5","-5","-3.75","75050.269"
"2022/04/06","135","135.5","133","133.5","-5","-3.61","76145.364"
"2022/04/01","134","138.5","133.5","138.5","3.5","2.59","68842.684"
"2022/03/31","135.5","137","133.5","135","0","0.00","38747.258"
"2022/03/30","136","136.5","133.5","135","0","0.00","56886.329"
"2022/03/29","134","137.5","134","135","2","1.50","61231.272"
"2022/03/28","128","134.5","127","133","0.5","0.38","93721.893"
"2022/03/25","140","140","132.5","132.5","-8","-5.69","165131.365"
"2022/03/24","142.5","144","140.5","140.5","-3","-2.09","84745.736"
"2022/03/23","143.5","145","141.5","143.5","1","0.70","68992.13"
"2022/03/22","144","145.5","142.5","142.5","-2","-1.38","74326.569"
"2022/03/21","141","145","138.5","144.5","3.5","2.48","128286.768"
"2022/03/18","145","145.5","140","141","-5.5","-3.75","165238.709"
"2022/03/17","146","148","138.5","146.5","3.5","2.45","311757.278"
"2022/03/16","160.5","163.5","142.5","143","-15","-9.49","532028.484"
"2022/03/15","165","167","157.5","158","-6.5","-3.95","299775.867"
"2022/03/14","162.5","166","162","164.5","4.5","2.81","212637.788"
"2022/03/11","155","160","155","160","4","2.56","193990.525"
"2022/03/10","161","162.5","156","156","0","0.00","243329.897"
"2022/03/09","152.5","156","149","156","9","6.12","261873.095"
"2022/03/08","148","153.5","138.5","147","-4","-2.65","389717.827"
"2022/03/07","160.5","162","151","151","-8","-5.03","337599.13"
"2022/03/04","161.5","171","159","159","-1.5","-0.93","431046.214"
"2022/03/03","154.5","162.5","153.5","160.5","9","5.94","229574.21"
"2022/03/02","150","154","149","151.5","1","0.66","190071.49"
"2022/03/01","146","151","144.5","150.5","7","4.88","225991.888"
"2022/02/25","146.5","147","143","143.5","2","1.41","146856.916"
"2022/02/24","141.5","147","138.5","141.5","-3.5","-2.41","253657.385"
"2022/02/23","145","148","144.5","145","2.5","1.75","155280.786"
"2022/02/22","145.5","147","135.5","142.5","-4.5","-3.06","298269.214"
"2022/02/21","143","147.5","143","147","5.5","3.89","249069.026"
"2022/02/18","133","142","132","141.5","8","5.99","200009.496"
"2022/02/17","134","136.5","133","133.5","0","0.00","106132.635"
"2022/02/16","135","135.5","133","133.5","1.5","1.14","85731.645"
"2022/02/15","131.5","133","130","132","2","1.54","67159.205"
"2022/02/14","131.5","135.5","130","130","-1.5","-1.14","140819.575"
"2022/02/11","133.5","135","131","131.5","-0.5","-0.38","153813.806"
