"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/05/11","34.6","34.8","34.2","34.2","-0.3999999999999986","-1.16","37327.091"
"2022/05/10","34.65","34.8","34.2","34.6","-0.3999999999999986","-1.14","35945.411"
"2022/05/09","35.5","35.5","35","35","-0.7999999999999972","-2.23","38253.854"
"2022/05/06","35.9","35.9","35.6","35.8","-0.5500000000000043","-1.51","26353.658"
"2022/05/05","36.4","36.6","36.25","36.35","0.30000000000000426","0.83","20289.028"
"2022/05/04","36.2","36.2","36","36.05","0.04999999999999716","0.14","15756.428"
"2022/05/03","36.1","36.15","35.5","36","-0.10000000000000142","-0.28","21701.934"
"2022/04/29","36.25","36.35","36.05","36.1","0.05000000000000426","0.14","22574.731"
"2022/04/28","35.65","36.2","35.6","36.05","0.44999999999999574","1.26","35435.137"
"2022/04/27","35.7","35.7","35.3","35.6","-0.5","-1.39","63208.253"
"2022/04/26","36.6","36.8","36.1","36.1","-0.5","-1.37","76597.037"
"2022/04/25","37.3","37.35","36.6","36.6","-1","-2.66","73031.069"
"2022/04/22","37.7","38.05","37.55","37.6","-0.19999999999999574","-0.53","48037.989"
"2022/04/21","38.35","38.45","37.8","37.8","-0.5","-1.31","49910.717"
"2022/04/20","38.75","38.8","38.25","38.3","-0.30000000000000426","-0.78","42370.915"
"2022/04/19","38.6","38.8","38.55","38.6","0.10000000000000142","0.26","23355.043"
"2022/04/18","39.5","39.55","38.4","38.5","-1.0499999999999972","-2.65","55212.356"
"2022/04/15","39.5","39.7","39.4","39.55","0.04999999999999716","0.13","29615.662"
"2022/04/14","39.65","39.7","39.4","39.5","0","0.00","23006.838"
"2022/04/13","39.45","39.65","39.4","39.5","0.14999999999999858","0.38","28139.883"
"2022/04/12","39.4","39.55","39.05","39.35","-0.04999999999999716","-0.13","37304.164"
"2022/04/11","39.4","39.5","39.1","39.4","0.19999999999999574","0.51","30760.423"
"2022/04/08","39","39.2","38.85","39.2","0.4000000000000057","1.03","30094.082"
"2022/04/07","39.05","39.6","38.75","38.8","-0.5500000000000043","-1.40","43366.591"
"2022/04/06","39.2","39.35","38.9","39.35","0.14999999999999858","0.38","36688.721"
"2022/04/01","38.7","39.2","38.5","39.2","0.25","0.64","36343.157"
"2022/03/31","38.9","39.15","38.65","38.95","0","0.00","30303.522"
"2022/03/30","39.25","39.25","38.35","38.95","-0.44999999999999574","-1.14","80655.863"
"2022/03/29","39.85","39.9","39.35","39.4","-0.6000000000000014","-1.50","54333.668"
"2022/03/28","39.85","40","39.15","40","0","0.00","45820.483"
"2022/03/25","40.15","40.2","39.95","40","0","0.00","56999.363"
"2022/03/24","40","40.15","39.85","40","0","0.00","52693.118"
"2022/03/23","39.9","40","39.6","40","0.20000000000000284","0.50","54848.383"
"2022/03/22","40.1","40.15","39.45","39.8","0.04999999999999716","0.13","75825.589"
"2022/03/21","39.6","40.25","39.6","39.75","0.7000000000000028","1.79","109300.138"
"2022/03/18","38.9","39.2","38.8","39.05","0.19999999999999574","0.51","61727.023"
"2022/03/17","38.9","38.9","38.55","38.85","0.30000000000000426","0.78","45732.405"
"2022/03/16","39","39","38.2","38.55","-0.15000000000000568","-0.39","50958.281"
"2022/03/15","39","39","38.3","38.7","-0.09999999999999432","-0.26","44209.537"
"2022/03/14","38.7","38.9","38.65","38.8","0.3499999999999943","0.91","49001"
"2022/03/11","38.3","38.7","38.3","38.45","0.15000000000000568","0.39","41965.287"
"2022/03/10","38.35","38.4","38.1","38.3","0.3499999999999943","0.92","53175.185"
"2022/03/09","37.75","38.2","37.4","37.95","0.5500000000000043","1.47","54471.648"
"2022/03/08","38.85","39.15","36.9","37.4","-1.6000000000000014","-4.10","157398.911"
"2022/03/07","38.45","39.2","37.55","39","0.6000000000000014","1.56","169196.742"
"2022/03/04","38.55","38.75","38.3","38.4","-0.20000000000000284","-0.52","67511.715"
"2022/03/03","38.9","38.95","38.55","38.6","0.30000000000000426","0.78","83968.799"
"2022/03/02","38.25","38.8","37.95","38.3","0.3499999999999943","0.92","161699.341"
"2022/03/01","38","38.65","37.4","37.95","1.9500000000000028","5.42","192591.898"
"2022/02/25","35.45","36","35.3","36","0.75","2.13","48711.199"
"2022/02/24","35.8","35.8","35.15","35.25","-0.7999999999999972","-2.22","53247.962"
"2022/02/23","36","36.4","35.8","36.05","-0.10000000000000142","-0.28","25692.867"
"2022/02/22","36.5","36.5","35.6","36.15","-0.30000000000000426","-0.82","58606.996"
"2022/02/21","35.65","36.65","35.5","36.45","0.8000000000000043","2.24","106731.378"
"2022/02/18","35.4","35.75","35.35","35.65","0.10000000000000142","0.28","27756.299"
"2022/02/17","35.7","35.8","35.35","35.55","0.09999999999999432","0.28","25011.819"
"2022/02/16","35.35","35.65","35.2","35.45","0.4000000000000057","1.14","27501.782"
"2022/02/15","35.55","35.55","35","35.05","-0.45000000000000284","-1.27","25201.716"
"2022/02/14","35.45","35.55","35.1","35.5","-0.20000000000000284","-0.56","31753.043"
"2022/02/11","35.6","35.9","35.5","35.7","0.05000000000000426","0.14","42943.632"
