"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/05/11","518","526","518","521","3","0.58","28109.896"
"2022/05/10","506","519","505","518","-2","-0.38","44322.247"
"2022/05/09","523","524","520","520","-8","-1.52","27309.304"
"2022/05/06","528","531","526","528","-14","-2.58","34512.038"
"2022/05/05","543","544","539","542","8","1.50","22540.182"
"2022/05/04","533","537","530","534","3","0.56","17305.449"
"2022/05/03","538","540","530","531","-7","-1.30","29502.561"
"2022/04/29","547","547","535","538","7","1.32","39960.198"
"2022/04/28","530","532","523","531","5","0.95","50406.145"
"2022/04/27","530","532","526","526","-20","-3.66","65034.122"
"2022/04/26","550","551","544","546","-1","-0.18","39549.934"
"2022/04/25","550","552","546","547","-11","-1.97","49067.362"
"2022/04/22","558","559","557","558","-7","-1.24","35567.672"
"2022/04/21","571","571","565","565","-5","-0.88","21539.083"
"2022/04/20","570","570","562","570","5","0.88","28240.222"
"2022/04/19","566","569","563","565","4","0.71","18811.242"
"2022/04/18","559","566","558","561","-1","-0.18","16579.296"
"2022/04/15","562","566","561","562","-11","-1.92","33158.93"
"2022/04/14","577","578","573","573","0","0.00","20224.847"
"2022/04/13","564","576","563","573","16","2.87","36968.137"
"2022/04/12","554","564","552","557","-1","-0.18","34799.056"
"2022/04/11","563","566","558","558","-9","-1.59","41713.758"
"2022/04/08","567","570","566","567","1","0.18","31406.384"
"2022/04/07","571","573","566","566","-12","-2.08","47212.937"
"2022/04/06","578","580","575","578","-11","-1.87","40726.932"
"2022/04/01","585","589","584","589","-8","-1.34","31247.086"
"2022/03/31","602","602","594","597","-3","-0.50","25130.417"
"2022/03/30","599","600","597","600","11","1.87","43256.548"
"2022/03/29","586","589","584","589","5","0.86","15742.359"
"2022/03/28","581","586","580","584","-14","-2.34","27954.73"
"2022/03/25","597","598","595","598","7","1.18","26794.684"
"2022/03/24","587","592","585","591","1","0.17","20769.676"
"2022/03/23","590","590","586","590","7","1.20","27475.008"
"2022/03/22","577","586","577","583","-3","-0.51","23421.124"
"2022/03/21","583","589","583","586","5","0.86","22800.165"
"2022/03/18","582","582","576","581","-1","-0.17","49583.448"
"2022/03/17","578","583","575","582","24","4.30","65820.899"
"2022/03/16","564","565","555","558","0","0.00","50764.807"
"2022/03/15","562","563","558","558","-14","-2.45","84338.792"
"2022/03/14","574","577","572","572","-3","-0.52","38562.552"
"2022/03/11","581","582","574","575","-12","-2.04","42981.381"
"2022/03/10","585","589","582","587","19","3.35","49092.145"
"2022/03/09","567","573","567","568","5","0.89","57512.412"
"2022/03/08","561","570","561","563","-13","-2.26","88371.413"
"2022/03/07","580","581","575","576","-19","-3.19","97167.6"
"2022/03/04","595","597","592","595","-7","-1.16","65235.167"
"2022/03/03","603","607","601","602","1","0.17","37103.932"
"2022/03/02","601","605","600","601","-3","-0.50","42428.151"
"2022/03/01","599","610","599","604","0","0.00","70303.88"
"2022/02/25","600","609","600","604","0","0.00","94155.943"
"2022/02/24","618","619","604","604","-21","-3.36","80672.979"
"2022/02/23","624","629","623","625","-2","-0.32","34561.338"
"2022/02/22","628","630","625","627","-5","-0.79","38526.21"
"2022/02/21","633","636","632","632","-5","-0.78","25769.408"
"2022/02/18","638","639","636","637","-8","-1.24","21948.975"
"2022/02/17","644","646","641","645","-1","-0.15","20447.347"
"2022/02/16","645","646","640","646","13","2.05","27395.771"
"2022/02/15","633","639","633","633","-4","-0.63","24497.955"
"2022/02/14","640","641","635","637","-13","-2.00","39394.67"
"2022/02/11","646","650","642","650","1","0.15","28194.682"
